Name,Categories,ReviewsNum,Rating,Zip,Latitude,Longitude,Address
Los Agaves,Mexican,3647,4.5,93101,34.42753,-119.68657,"600 N Milpas St Santa Barbara, CA 93101"
Brophy Bros - Santa Barbara,Seafood,2826,4,93109,34.4037593,-119.6939922,"119 Harbor Way Santa Barbara, CA 93109"
Paula's Pancake House,Breakfast & Brunch,2477,4,93463,34.59630585,-120.1440659,"1531 Mission Dr Solvang, CA 93463"
Boathouse at Hendry's Beach,"Seafood, Breakfast & Brunch, American (New)",2334,4,93109,34.40325738,-119.7437519,"2981 Cliff Dr Santa Barbara, CA 93109"
Santa Barbara Shellfish Company,"Seafood, Live/Raw Food, Beer Bar",2214,4,93101,34.4095078,-119.6856528,"230 Stearns Wharf Santa Barbara, CA 93101"
Mesa Verde,"Vegetarian, Live/Raw Food, Burgers",1694,4.5,93109,34.4014219,-119.72302,"1919 Cliff Dr Santa Barbara, CA 93109"
La Super-Rica Taqueria,Mexican,1679,4,93103,34.42803,-119.68713,"622 N Milpas St Santa Barbara, CA 93103"
Succulent Cafe,"Cafes, American (New), Comfort Food",1610,4,93463,34.596229,-120.143225,"1557 Mission Dr Solvang, CA 93463"
Solvang Brewing Company,"Breweries, American (Traditional)",1471,3.5,93463,34.5963,-120.14357,"1547 Mission Dr Solvang, CA 93463"
The Palace Grill,"Cajun/Creole, American (New), Seafood",1460,4.5,93101,34.4179959,-119.69631,"8 E Cota St Santa Barbara, CA 93101"
The Lark,"American (New), Cocktail Bars",1446,4,93101,34.4148777,-119.690279,"131 Anacapa St Ste A Santa Barbara, CA 93101"
Finch & Fork,"American (New), Breakfast & Brunch, Bars",1378,4,93101,34.420701,-119.7025009,"31 W Carrillo St Santa Barbara, CA 93101"
Bouchon,"French, American (New), Seafood",1353,4.5,93101,34.423983,-119.70586,"9 W Victoria St Santa Barbara, CA 93101"
Lure Fish House,"Seafood, Cocktail Bars, Wine Bars",1338,4.5,93105,34.43884928,-119.7481643,"3815 State St Ste G131 Santa Barbara, CA 93105"
The Hitching Post II,"Steakhouses, Barbeque, Wine Bars",1324,4,93427,34.6086414,-120.1812993,"406 E Hwy 246 Buellton, CA 93427"
Industrial Eats,"Pizza, Tapas/Small Plates, Soul Food",1319,4.5,93427,34.614195,-120.199903,"181 B Industrial Way Buellton, CA 93427"
Freebirds,Mexican,1248,4,93117,34.4133,-119.85569,"879 Embarcadero Del Norte Isla Vista, CA 93117"
Pea Soup Andersen's Restaurant,"American (Traditional), Breakfast & Brunch, Soup",1239,3.5,93427,34.61392,-120.19243,"376 Ave Of Flag Buellton, CA 93427"
Rockfire Grill,"Pizza, Burgers, Chicken Wings",1196,4.5,93117,34.412933,-119.857771,"6583 Pardall Rd Goleta, CA 93117"
Lilly's Tacos,Mexican,1164,4.5,93101,34.41449784,-119.6947937,"310 Chapala St Santa Barbara, CA 93101"
Chad's,"Breakfast & Brunch, Salad, American (Traditional)",1132,4,93101,34.41002,-119.69225,"216 W Cabrillo Blvd Santa Barbara, CA 93101"
Pickles & Swiss,"Delis, Sandwiches, Salad",1115,4.5,93101,34.41960161,-119.7001504,"811 State St unit E Santa Barbara, CA 93101"
Zaytoon,"Lebanese, Bars, Mediterranean",1088,4,93101,34.4229082,-119.6982262,"209 E Canon Perdido St Santa Barbara, CA 93101"
Santa Barbara FisHouse,"Seafood, Breakfast & Brunch, Tapas/Small Plates",1063,3.5,93101,34.41374,-119.68798,"101 E Cabrillo Blvd Santa Barbara, CA 93101"
Andersen's Danish Bakery & Restaurant,"Bakeries, Breakfast & Brunch, Modern European",1059,4,93101,34.42264304,-119.7034089,"1106 State St Santa Barbara, CA 93101"
Pascucci,Italian,1041,3.5,93101,34.419107,-119.699243,"509 State St Santa Barbara, CA 93101"
Solvang Restaurant,"Scandinavian, Breakfast & Brunch, American (Traditional)",1033,3.5,93463,34.59455,-120.1395,"1672 Copenhagen Dr Solvang, CA 93463"
The Shop Kitchen,"American (New), Coffee & Tea, Breakfast & Brunch",1026,4.5,93103,34.42916929,-119.6889215,"730 N Milpas St Santa Barbara, CA 93103"
Copenhagen Sausage Garden,"Hot Dogs, Comfort Food, Beer Gardens",1000,4.5,93463,34.594832,-120.1401604,"1660 Copenhagen Dr Solvang, CA 93463"
Toma Restaurant & Bar,"Bars, Italian",991,4.5,93101,34.408633,-119.693496,"324 West Cabrillo Blvd Santa Barbara, CA 93101"
Cold Spring Tavern,"American (Traditional), Bars",966,4.5,93105,34.52021,-119.84087,"5995 Stagecoach Rd Santa Barbara, CA 93105"
Arigato Sushi,"Japanese, Sushi Bars",950,4,93101,34.42380142,-119.7054825,"1225 State St Santa Barbara, CA 93101"
Eureka!,American (Traditional),935,3.5,93101,34.41862762,-119.7001508,"601 Paseo Nuevo Santa Barbara, CA 93101"
Opal Restaurant & Bar,"Bars, Seafood, Steakhouses",904,4,93101,34.42472458,-119.7067642,"1325 State St Santa Barbara, CA 93101"
The Black Sheep,"American (New), Asian Fusion, Cocktail Bars",896,4.5,93101,34.41945,-119.697,"26 E Ortega St Santa Barbara, CA 93101"
Finney's Crafthouse,"Gastropubs, Cocktail Bars, American (New)",882,4.5,93101,34.41263,-119.69044,"35 State St Ste A Santa Barbara, CA 93101"
Olsen's Danish Village Bakery,"Bakeries, Coffee & Tea",844,4,93463,34.5963,-120.14424,"1529 Mission Dr Solvang, CA 93463"
Santo Mezcal,"Mexican, Latin American",841,4.5,93101,34.413456,-119.691322,"119 State St Santa Barbara, CA 93101"
Scarlett Begonia,"Breakfast & Brunch, Beer, Wine & Spirits, American (Traditional)",829,4,93101,34.4235,-119.706233,"21 W Victoria St Santa Barbara, CA 93101"
Padaro Beach Grill,"American (Traditional), Juice Bars & Smoothies, Seafood",815,4.5,93013,34.40659,-119.54835,"3765 Santa Claus Ln Carpinteria, CA 93013"
Los Olivos Wine Merchant & Cafe,"Wine Bars, American (New), Wine Tasting Room",798,4,93441,34.664948,-120.115265,"2879 Grand Ave Los Olivos, CA 93441"
The Worker Bee Cafe,"Breakfast & Brunch, American (Traditional)",777,4,93013,34.3987694,-119.5187957,"973 Linden Ave Carpinteria, CA 93013"
Loquita,"Spanish, Tapas Bars, Seafood",773,4.5,93101,34.41420411,-119.6916436,"202 State St Santa Barbara, CA 93101"
Los Agaves,"Mexican, American (New)",762,4,93105,34.43742,-119.72744,"2911 De La Vina St Santa Barbara, CA 93105"
Corazon Cocina,Mexican,757,4.5,93101,34.42354,-119.70681,"38 W Victoria Unit 122 Santa Barbara, CA 93101"
Dawn Patrol,"Breakfast & Brunch, Coffee & Tea, American (New)",750,4,93101,34.4156808,-119.6937421,"324 State St Santa Barbara, CA 93101"
AJ Spurs - Buellton,"Steakhouses, Bars, Music Venues",736,4,93427,34.6091469,-120.1834038,"350 E Hwy 246 Buellton, CA 93427"
Mony's Mexican Food,Mexican,736,4.5,93101,34.41549044,-119.6911167,"217 E Anacapa St Santa Barbara, CA 93101"
Firestone Walker Brewing- Buellton,"American (New), Brewpubs",734,4,93427,34.62014,-120.18769,"620 McMurray Rd Buellton, CA 93427"
Jane,"American (New), Venues & Event Spaces",725,4,93101,34.42441,-119.70635,"1311 State St Santa Barbara, CA 93101"
Carlitos Cafe Y Cantina,Mexican,702,3.5,93101,34.42523,-119.7062,"1324 State St Ste A Santa Barbara, CA 93101"
Pickles & Swiss,"Sandwiches, Delis",699,4.5,93117,34.43113451,-119.8742894,"7060 Hollister Ave Ste 102 Goleta, CA 93117"
Patxi's Pizza,"Pizza, Salad, Sandwiches",662,4,93101,34.417115,-119.696243,"515 State St Santa Barbara, CA 93101"
Bluewater Grill - Santa Barbara,Seafood,654,4,93101,34.412758,-119.688965,"15 East Cabrillo Blvd Santa Barbara, CA 93101"
Empty Bowl Gourmet Noodle Bar,"Thai, Noodles",653,4.5,93101,34.42357707,-119.7070424,"38 W Victoria St Ste 109 Santa Barbara, CA 93101"
Ca' Dario,"Wine Bars, Seafood, Tuscan",647,4,93101,34.42539135,-119.7048108,"37 E Victoria St Santa Barbara, CA 93101"
Backyard Bowls,"Juice Bars & Smoothies, Breakfast & Brunch",642,4.5,93101,34.4150398,-119.6943479,"331 Motor Way Santa Barbara, CA 93101"
Mortensen's Danish Bakery,"Bakeries, Desserts, Cupcakes",642,4,93463,34.59582733,-120.1420037,"1588 Mission Dr Solvang, CA 93463"
Fitzpatrick's Tavern,"Irish, Pubs",640,4,93463,34.5956912,-120.1391955,"490 1st St Ste A Solvang, CA 93463"
Trattoria Grappolo,"Pizza, Italian, Wine Bars",635,4,93460,34.61322,-120.07721,"3687 Sagunto St Santa Ynez, CA 93460"
Summerland Beach Cafe,"American (Traditional), Breakfast & Brunch",626,4,93067,34.42194,-119.60019,"2294 Lillie Ave Summerland, CA 93067"
Jeannine's Bakery & Restaurant,"Bakeries, Coffee & Tea, Breakfast & Brunch",621,4.5,93108,34.421043,-119.64219,"1253 Coast Village Rd Montecito, CA 93108"
Persona Pizzeria,"Pizza, Salad, Sandwiches",619,4,93101,34.42060882,-119.7009534,"905 State St Santa Barbara, CA 93101"
Kyle's Kitchen,"Salad, Burgers, Chicken Shop",613,4,93101,34.4182599,-119.70049,"791 Chapala St Santa Barbara, CA 93101"
Olio Pizzeria,"Pizza, Bars",608,4,93101,34.4238417,-119.7060091,"11 W Victoria St Ste 21 Santa Barbara, CA 93101"
Bob's Well Bread,"Bakeries, Cafes, Sandwiches",608,4.5,93440,34.7438905,-120.2768312,"550 Bell St Los Alamos, CA 93440"
Lucky Penny,"Pizza, Salad, Wine Bars",592,4,93101,34.414643,-119.690235,"127 Anacapa St Santa Barbara, CA 93101"
Hadsten House,Hotels,592,4,93463,34.595277,-120.146178,"1450 Mission Dr Solvang, CA 93463"
S Y Kitchen,"Italian, Cocktail Bars",590,4.5,93460,34.61322,-120.07981,"1110 Faraday St Santa Ynez, CA 93460"
Kay's Orcutt Country Kitchen,"Breakfast & Brunch, American (Traditional), Cafes",581,4.5,93455,34.86529272,-120.446411,"135 E Clark Ave Orcutt, CA 93455"
The Drunken Crab,"Cajun/Creole, Seafood",567,4,93101,34.4165,-119.6944,"416 State St Santa Barbara, CA 93101"
Ellen's Danish Pancake House,"Breakfast & Brunch, Diners",556,4,93427,34.612956,-120.193632,"272 Avenue of Flags Buellton, CA 93427"
Savoy Cafe & Deli,"Delis, Gluten-Free, Breakfast & Brunch",555,4.5,93101,34.4219321,-119.7040745,"24 W Figueroa St Santa Barbara, CA 93101"
The Natural Cafe,"Sandwiches, Juice Bars & Smoothies, Burgers",545,4,93101,34.417184,-119.69578,"508 State St Santa Barbara, CA 93101"
Cajun Kitchen Cafe,"Cajun/Creole, Breakfast & Brunch",539,4,93117,34.42999961,-119.8671487,"6831 Hollister Ave Ste A Goleta, CA 93117"
Via Maestra 42,"Delis, Italian",537,4.5,93105,34.44007621,-119.7363232,"3343 State St Santa Barbara, CA 93105"
Birkholm's Bakery & Cafe,"Bakeries, Sandwiches, Coffee & Tea",536,4,93463,34.59483,-120.13802,"460 Alisal Rd Solvang, CA 93463"
Hollister Brewing Company,"American (Traditional), Brewpubs",528,3.5,93117,34.42949848,-119.8711373,"6980 Marketplace Dr Goleta, CA 93117"
Cecco Ristorante,Italian,524,3.5,93463,34.59541,-120.13991,"475 1st St Solvang, CA 93463"
Shaw's Steakhouse & Tavern,Steakhouses,522,4,93454,34.94534,-120.43545,"714 S Broadway Santa Maria, CA 93454"
The Garden Mediterranean,Mediterranean,517,5,93454,34.947024,-120.4346378,"122 E Boone St Santa Maria, CA 93454"
Benchmark Eatery,"American (New), Seafood, Bars",515,4,93101,34.42333,-119.7048,"1201 State St Santa Barbara, CA 93101"
The Honor Bar,"Bars, American (New), Sandwiches",515,4.5,93108,34.42123,-119.64174,"1255 Coast Village Rd Ste 101 Santa Barbara, CA 93108"
State & Fig,"Cafes, American (New), Tapas/Small Plates",508,4,93101,34.423044,-119.703208,"1114 State St Ste 18 Santa Barbara, CA 93101"
Nikka Ramen,Ramen,507,4.5,93117,34.44088528,-119.8235229,"5701 Calle Real Goleta, CA 93117"
"Chomp Burgers, Fries, and Shakes","American (New), Salad, Burgers",504,3.5,93463,34.5964013,-120.1379633,"1693 Mission Dr Solvang, CA 93463"
Lilly's Tacos,Mexican,499,4.5,93117,34.42849452,-119.8690859,"290 Storke Rd Ste D Goleta, CA 93117"
Renaud's Patisserie & Bistro,"Bakeries, Cafes, Breakfast & Brunch",495,4.5,93105,34.4402551,-119.73526,"3315 State St Santa Barbara, CA 93105"
Garrett's Old Fashioned Restaurant,"American (Traditional), Breakfast & Brunch, Sandwiches",487,4,93105,34.4307865,-119.7149284,"2001 State St Santa Barbara, CA 93105"
Flavor of India,"Indian, Vegan, Buffets",486,4,93105,34.4406128,-119.729371,"3026 State St Santa Barbara, CA 93105"
Holdren's Steaks & Seafood,"Steakhouses, Seafood, Burgers",483,4,93101,34.4171144,-119.6958556,"512 State St Santa Barbara, CA 93101"
The Blue Owl,"Asian Fusion, Sandwiches, American (New)",482,4.5,93101,34.420002,-119.700559,"5 W Canon Perdido Santa Barbara, CA 93101"
Norton's Pastrami & Deli,"Sandwiches, Delis, American (Traditional)",480,4.5,93101,34.4218534,-119.7039624,"18 W Figueroa St Santa Barbara, CA 93101"
Cafe Dolce,"Juice Bars & Smoothies, Coffee & Tea, Breakfast & Brunch",478,4,93463,34.595339,-120.139903,"475 1st St Solvang, CA 93463"
On The Alley,"Breakfast & Brunch, American (Traditional)",474,4,93109,34.4033884,-119.6936515,"117 Harbor Way Santa Barbara, CA 93109"
Mother Hubbard's Restaurant,"Breakfast & Brunch, American (Traditional), Burgers",469,4,93427,34.614264,-120.193598,"373 Ave of the Flags Ste A Buellton, CA 93427"
Noodle City,"Vietnamese, Noodles",466,3.5,93117,34.43581,-119.8282923,"5869 Hollister Ave Goleta, CA 93117"
SizzlinGogi,"Korean, Wine Bars",465,4,93454,34.92685,-120.43665,"1841 S Broadway Santa Maria, CA 93454"
Woodstock's Pizza Isla Vista,"Pizza, Gluten-Free, Vegetarian",464,4,93117,34.41233106,-119.8552291,"928 Embarcadero Del Norte Isla Vista, CA 93117"
Lucky Llama Coffee,"Acai Bowls, Bakeries, Coffee Roasteries",459,4.5,93013,34.3980825,-119.5168743,"5100 Carpinteria Ave Carpinteria, CA 93013"
Bree'osh,"Coffee & Tea, Breakfast & Brunch, Bakeries",456,4.5,93108,34.42161,-119.64629,"1150 Coast Village Rd Ste E Santa Barbara, CA 93108"
Dos Carlitos,"Mexican, Bars",455,4,93460,34.61248779,-120.0820847,"3544 Sagunto St Santa Ynez, CA 93460"
Olio E Limone Ristorante,Italian,454,4,93101,34.42299711,-119.7045224,"11 W Victoria St Ste 17 Santa Barbara, CA 93101"
The Belgian Cafe,Breakfast & Brunch,451,4,93463,34.59513,-120.13923,"1671 Copenhagen Dr Solvang, CA 93463"
Goleta Sushi House,"Sushi Bars, Japanese",451,4,93117,34.43591732,-119.8248438,"5744 Hollister Ave Goleta, CA 93117"
North China Restaurant,Chinese,450,4,93454,34.953801,-120.436036,"113 N Broadway Santa Maria, CA 93454"
Black Bear Diner,"Diners, Breakfast & Brunch, American (Traditional)",441,3.5,93454,34.9227,-120.431799,"335 East Betteravia Santa Maria, CA 93454"
Siam Elephant,Thai,435,4.5,93013,34.39659,-119.52169,"509 Linden Ave Carpinteria, CA 93013"
Los Agaves,"Mexican, Bars",432,4,93117,34.42953283,-119.8722388,"7024 Market Pl Dr Goleta, CA 93117"
AL PHO,"Vietnamese, Barbeque, Fast Food",431,4.5,93454,34.95326,-120.41598,"1201 E Main St Ste B Santa Maria, CA 93454"
Rincon Brewery,Breweries,429,4,93013,34.398372,-119.518002,"5065 Carpinteria Ave Carpinteria, CA 93013"
Los Arroyos Mexican Restaurant & Take Out,"Mexican, Salad, Bars",428,4,93101,34.4220042,-119.7038208,"14 W Figueroa St Santa Barbara, CA 93101"
Kyle's Kitchen,"Salad, Burgers, Chicken Shop",426,4,93117,34.440834,-119.823876,"5723 Calle Real Goleta, CA 93117"
Mesa Burger - Santa Barbara,"Burgers, American (Traditional)",422,4,93109,34.4007984,-119.7226708,"315 Meigs Rd Ste F Santa Barbara, CA 93109"
Sama Sama Kitchen,"Cocktail Bars, Asian Fusion",420,4,93101,34.42382,-119.70453,"1208 State St Santa Barbara, CA 93101"
Your Place Thai Restaurant,Thai,412,4,93103,34.422246,-119.679611,"22 N Milpas St Ste A Santa Barbara, CA 93103"
Taqueria Cuernavaca,Tacos,401,4.5,93101,34.418932,-119.704239,"201 W Carrillo St Santa Barbara, CA 93101"
Zoe's Hawaiian BBQ,Hawaiian,399,4.5,93455,34.90769196,-120.4322357,"2880 Santa Maria Way Ste A-2 Santa Maria, CA 93455"
Edomasa,"Japanese, Sushi Bars",397,3.5,93105,34.43602,-119.72527,"2710 De La Vina St Santa Barbara, CA 93105"
Moxie Cafe,"Cafes, American (New), Music Venues",395,4,93455,34.9164325,-120.4599872,"1317 West Mccoy Ln Santa Maria, CA 93455"
Santa Maria Inn,"Hotels, Venues & Event Spaces",388,3.5,93454,34.9438,-120.43674,"801 S Broadway Santa Maria, CA 93454"
Convivo Restaurant and Bar,"Bars, Italian, Venues & Event Spaces",384,4,93103,34.417321,-119.672226,"901 E Cabrillo Blvd Santa Barbara, CA 93103"
Mad & Vin,"American (New), Wine Bars, Cocktail Bars",382,4,93463,34.59575272,-120.1425095,"1576 Mission Dr Solvang, CA 93463"
Barbareño,"American (New), Barbeque, Wine Bars",380,4.5,93101,34.41806,-119.70293,"205 W Canon Perdido St Santa Barbara, CA 93101"
Far Western Tavern,"American (Traditional), Cocktail Bars, Wine Bars",377,3.5,93455,34.864804,-120.444466,"300 E Clark Ave Orcutt, CA 93455"
Teddy's By The Sea,"Seafood, Burgers, Bars",374,4.5,93013,34.3982,-119.51704,"5096 Carpinteria Ave Carpinteria, CA 93013"
Nikka Fish Market and Grill,"Seafood, American (Traditional)",374,4,93117,34.44173414,-119.8243779,"5722 Calle Real Goleta, CA 93117"
The Bit O'Denmark,"Scandinavian, Modern European",373,3.5,93463,34.59529,-120.13863,"473 Alisal Rd Solvang, CA 93463"
Hitching Post,"Barbeque, Steakhouses",373,4.5,93429,34.838204,-120.530416,"3325 Point Sal Rd Casmalia, CA 93429"
Leonardo's Ristorante & Pizzeria,"Wine Bars, Italian, Beer Bar",370,4.5,93463,34.600224,-120.128248,"632 Alamo Pintado Rd Solvang, CA 93463"
The Spot,"American (Traditional), Burgers, Mexican",367,3.5,93013,34.39573,-119.52299,"389 Linden Ave Carpinteria, CA 93013"
Sakana Sushi Bar & Japanese,"Sushi Bars, Japanese",365,4,93108,34.422264,-119.650288,"1046 Coast Village Rd Ste K Santa Barbara, CA 93108"
Saigon Vietnamese Restaurant,"Vietnamese, Seafood, Noodles",361,3.5,93101,34.4243,-119.70525,"1230 State St Unit A Santa Barbara, CA 93101"
Bagel Cafe,"Bagels, Cafes",357,4,93117,34.41077,-119.85702,"6551 Trigo Rd Goleta, CA 93117"
Brother's Restaurant At the Red Barn,"American (Traditional), Bars, Salad",354,4.5,93460,34.61307,-120.0821753,"3539 Sagunto St Santa Ynez, CA 93460"
The Pantry On Park,"American (Traditional), Breakfast & Brunch",348,4,93454,34.94471515,-120.4356631,"726 S Broadway Santa Maria, CA 93454"
Lucky's,"Steakhouses, American (Traditional), Cocktail Bars",345,4,93108,34.42123945,-119.6410275,"1279 Coast Village Rd Montecito, CA 93108"
Figueroa Mountain Brewing Company,Breweries,341,4.5,93427,34.61066,-120.2023,"45 Industrial Way Buellton, CA 93427"
Seven Bar & Kitchen,"Bars, American (New), Music Venues",340,4,93101,34.4149562,-119.6913163,"224 Helena St Santa Barbara, CA 93101"
Zen Yai Thai Cuisine,Thai,337,4,93101,34.41625,-119.69526,"425 State St Santa Barbara, CA 93101"
China Pavilion,"Desserts, Coffee & Tea, Dim Sum",334,3.5,93101,34.42262,-119.70562,"1202 Chapala St Santa Barbara, CA 93101"
Dave's Dogs Grill,Hot Dogs,333,4.5,93111,34.4380246,-119.7896264,"149 S Turnpike Rd Santa Barbara, CA 93111"
Your Choice Restaurant,"Thai, Ice Cream & Frozen Yogurt, Chicken Wings",332,4,93105,34.4405449,-119.73707,"3404 State St Santa Barbara, CA 93105"
Toscana,"Pizza, Italian, Wine Bars",331,4,93463,34.59564972,-120.1384735,"485 Alisal Rd Ste 163 Solvang, CA 93463"
South Coast Deli-Goleta,"Delis, Sandwiches",329,4.5,93111,34.4355666,-119.8092569,"185 S Patterson Ave Ste A Goleta, CA 93111"
Shalhoob's Funk Zone Patio,"Tapas/Small Plates, American (New), Venues & Event Spaces",328,4.5,93101,34.41628,-119.69046,"220 Gray Ave Santa Barbara, CA 93101"
Red Pepper Restaurant,Chinese,326,4,93117,34.43416,-119.82858,"282 Orange Ave Goleta, CA 93117"
South Coast Deli- Chapala,Delis,324,4.5,93101,34.42506737,-119.7091551,"1436 Chapala St Santa Barbara, CA 93101"
La Picosita,Mexican,322,4,93454,34.9616723,-120.4358676,"923 N Broadway Santa Maria, CA 93454"
Buena Onda,"Argentine, Latin American, Empanadas",321,5,93103,34.42469,-119.68673,"724 E Haley St Santa Barbara, CA 93103"
MIZZA,"Italian, Pizza, Salad",320,4,93101,34.422807,-119.703594,"1112 State St Santa Barbara, CA 93101"
TAP Thai Cuisine,Thai,320,3.5,93105,34.440696,-119.732304,"3130 State St Santa Barbara, CA 93105"
Trattoria Vittoria,Italian,319,4,93101,34.424871,-119.704733,"30 E Victoria St Santa Barbara, CA 93101"
Eddie's Grill,"Salad, Burgers, Sandwiches",318,4.5,93436,34.6600827,-120.4582476,"1325 N H St Lompoc, CA 93436"
The Original Habit Burger Grill,Burgers,318,4,93117,34.43544,-119.82466,"5735 Hollister Ave Goleta, CA 93117"
Helena Avenue Bakery,"Bakeries, Breakfast & Brunch, Coffee & Tea",317,4.5,93101,34.4145034,-119.689911,"131 Anacapa St Ste C Santa Barbara, CA 93101"
Stonehouse Restaurant,American (New),317,4.5,93108,34.446845,-119.623092,"900 San Ysidro Ln San Ysidro Ranch Santa Barbara, CA 93108"
Trattoria Uliveto,"Italian, Bars",317,4,93455,34.863151,-120.44741,"285 S Broadway St Old Orcutt, CA 93455"
Hana Kitchen,"Asian Fusion, Bubble Tea, Vegetarian",315,3,93117,34.41325182,-119.8564651,"6558 Pardall Rd Isla Vista, CA 93117"
Flor De Maiz,"Cocktail Bars, Mexican",314,4,93101,34.41319174,-119.6884379,"29 E Cabrillo Blvd Santa Barbara, CA 93101"
Choppa Poke,"Poke, Asian Fusion, Seafood",314,4,93117,34.43039277,-119.8722246,"7000 Hollister Ave Ste 102 Goleta, CA 93117"
Buddha Bowls,"American (New), Specialty Food",311,4.5,93117,34.41293,-119.85731,"901 Embarcadero Del Mar Isla Vista, CA 93117"
Oku,"Sushi Bars, Asian Fusion, Cocktail Bars",310,4,93101,34.413204,-119.688437,"29 E Cabrillo Blvd Santa Barbara, CA 93101"
